        ID       SIRE        DAM
    TV0259           *          *
    TV0260           *          *
    TV0262           *          *
    TV0263           *          *
    TV0265           *          *
    TV0266           *          *
    TV0268           *          *
    TV0269      TV0265          *
    TV0270           *          *
    TV0271           *          *
    TV0272      TV0258          *
    TV0273           *          *
    TV0274           *          *
    TV0275           *          *
    TV0276           *          *
    TV0277           *          *
    TV0278           *          *
    TV0279           *          *
    TV0281           *          *
    TV0282           *          *
    TV0283           *          *
    TV0284           *          *
    TV0285           *          *
    TV0286           *          *
    TV0287           *          *
    TV0288      TV0294          *
    TV0289           *          *
    TV0290      TV0291          *
    TV0291           *          *
    TV0292           *          *
    TV0293           *          *
    TV0294           *          *
    TV0296           *          *
    TV0297           *          *
    TV0298           *          *
    TV0299           *          *
    TV0300           *          *
    TV0301           *          *
    TV0302           *          *
    TV0303           *          *
    TV0304           *          *
    TV0305           *          *
    TV0307           *          *
    TV0308           *          *
    TV0309           *          *
    TV0311           *          *
    TV0313           *          *
    TV0314           *          *
    TV0315           *          *
    TV0316           *          *
    TV0318           *          *
    TV0319           *          *
    TV0321           *          *
    TV0325           *          *
    TV0326      TV0345          *
    TV0327           *          *
    TV0328           *          *
    TV0329           *          *
    TV0330           *          *
    TV0334           *          *
    TV0335           *          *
    TV0336           *          *
    TV0337           *          *
    TV0338           *          *
    TV0339           *          *
    TV0341           *          *
    TV0342           *          *
    TV0343           *          *
    TV0344           *          *
    TV0345      TV0344          *
    TV0393           *          *
    TV0399      TV0409          *
    TV0400           *          *
    TV0409           *          *
    TV0441           *          *
    TV0449           *          *
    TV0459      TV1235          *
    TV0480           *          *
    TV0484           *          *
    TV0485           *          *
    TV0487           *          *
    TV0491           *          *
    TV0492           *          *
    TV0496           *          *
    TV0538           *          *
    TV0553           *          *
    TV0555           *          *
    TV0571           *          *
    TV0575           *          *
    TV0586           *          *
    TV0610           *          *
    TV0638           *          *
    TV0658           *          *
    TV0664           *          *
    TV0691           *          *
    TV0716           *          *
    TV0717           *          *
    TV0720           *          *
    TV0721           *          *
    TV0724           *          *
    TV0725           *          *
    TV0728           *          *
    TV0795      TV6412          *
    TV0799           *          *
    TV0833           *          *
    TV0838           *          *
    TV0886           *          *
    TV0892           *          *
    TV0893           *          *
    TV0895           *          *
    TV0897           *          *
    TV0898           *          *
    TV0899           *          *
    TV0904           *          *
    TV0907           *          *
    TV0910           *          *
    TV0913      TV1404          *
    TV0918           *          *
    TV0919           *          *
    TV0920           *          *
    TV0923           *          *
    TV0926           *          *
    TV0928           *          *
    TV0930           *          *
    TV0936           *          *
    TV0946           *          *
    TV0952           *          *
    TV0955           *          *
    TV0956           *          *
    TV0958           *          *
    TV0959           *          *
    TV0961           *          *
    TV0962           *          *
    TV0969           *          *
    TV0971           *          *
    TV0972           *          *
    TV0975           *          *
    TV0976           *          *
    TV0977           *          *
    TV0979           *          *
    TV0980           *          *
    TV0981           *          *
    TV0983           *          *
    TV0984           *          *
    TV0986           *          *
    TV0989           *          *
    TV0991           *          *
    TV0992           *          *
    TV0996           *          *
    TV0999           *          *
    TV1004           *          *
    TV1005           *          *
    TV1006           *          *
    TV1007           *          *
    TV1008           *          *
    TV1009      TV1005          *
    TV1011           *          *
    TV1018           *          *
    TV1019           *          *
    TV1020           *          *
    TV1022           *          *
    TV1024           *          *
    TV1026           *          *
    TV1027           *          *
    TV1028           *          *
    TV1030           *          *
    TV1036           *          *
    TV1042           *          *
    TV1043           *          *
    TV1046           *          *
    TV1047           *          *
    TV1055           *          *
    TV1061           *          *
    TV1065           *          *
    TV1074           *          *
    TV1080           *          *
    TV1082           *          *
    TV1084           *          *
    TV1086           *          *
    TV1087           *          *
    TV1088           *          *
    TV1090           *          *
    TV1091           *          *
