Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sat Jan  4 02:20:25 2025


*** MCMC Parameters ***

Seed                         : 1735982405
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 91804
  Initial temperature c0     : 103.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 50000000
Iterations                   : 1215752192
Sample frequency             : 1000
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 60000
  Nmmax                      : 60000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |         43 |   11567263 |  -3528.444 |  -4103.459 |   86.677 |   49.530 |  0.65 |   0.450 |   0.450 |      0 |
 |         44 |   11842674 |  -3528.444 |  -3946.830 |  128.019 |   48.647 |  0.68 |   0.386 |   0.386 |      0 |
 |         45 |   12118085 |  -3528.444 |  -4215.670 |  128.245 |   48.067 |  0.62 |   0.651 |   0.651 |      0 |
 |         46 |   12393496 |  -3528.444 |  -4061.323 |  119.910 |   47.501 |  0.65 |   0.405 |   0.405 |      0 |
 |         47 |   12668907 |  -3528.444 |  -4006.657 |  164.169 |   46.911 |  0.67 |   0.392 |   0.392 |      0 |
 |         48 |   12944318 |  -3528.444 |  -4089.855 |  120.822 |   46.489 |  0.64 |   0.563 |   0.563 |      0 |
 |         49 |   13219729 |  -3528.444 |  -4180.880 |  232.925 |   45.927 |  0.63 |   0.543 |   0.543 |      0 |
 |         50 |   13495140 |  -3528.444 |  -4010.568 |  118.457 |   45.641 |  0.67 |   0.315 |   0.315 |      0 |
 |         51 |   13770551 |  -3528.444 |  -3976.724 |  140.194 |   45.090 |  0.67 |   0.415 |   0.415 |      0 |
 |         52 |   14045962 |  -3528.444 |  -4176.125 |  107.014 |   44.633 |  0.63 |   0.423 |   0.423 |      0 |
 |         53 |   14321373 |  -3528.444 |  -3996.557 |  140.525 |   44.050 |  0.66 |   0.468 |   0.468 |      0 |
 |         54 |   14596784 |  -3528.444 |  -4010.577 |  119.580 |   43.615 |  0.66 |   0.539 |   0.539 |      0 |
 |         55 |   14872195 |  -3528.444 |  -3989.543 |  114.557 |   43.116 |  0.67 |   0.454 |   0.454 |      0 |
 |         56 |   15147606 |  -3456.302 |  -4010.714 |  143.780 |   42.606 |  0.66 |   0.427 |   0.427 |      0 |
 |         57 |   15423017 |  -3456.302 |  -4154.545 |   86.193 |   42.209 |  0.63 |   0.475 |   0.475 |      0 |
 |         58 |   15698428 |  -3456.302 |  -4094.697 |  103.078 |   41.562 |  0.64 |   0.409 |   0.409 |      0 |
 |         59 |   15973839 |  -3456.302 |  -4067.304 |   93.949 |   41.037 |  0.64 |   0.577 |   0.577 |      0 |
 |         60 |   16249250 |  -3456.302 |  -4003.973 |  124.507 |   40.475 |  0.66 |   0.622 |   0.622 |      0 |
 |         61 |   16524661 |  -3456.302 |  -4049.116 |  107.683 |   40.061 |  0.65 |   0.601 |   0.601 |      0 |
 |         62 |   16800072 |  -3456.302 |  -4056.114 |  126.256 |   39.593 |  0.65 |   0.688 |   0.688 |      0 |
 |         63 |   17075483 |  -3456.302 |  -3926.037 |   89.608 |   39.203 |  0.67 |   0.465 |   0.465 |      0 |
 |         64 |   17350894 |  -3456.302 |  -4096.969 |  151.722 |   38.665 |  0.64 |   0.468 |   0.468 |      0 |
 |         65 |   17626305 |  -3456.302 |  -3981.439 |  155.619 |   38.355 |  0.66 |   0.569 |   0.569 |      0 |
 |         66 |   17901716 |  -3456.302 |  -4009.591 |  118.567 |   38.057 |  0.65 |   0.484 |   0.484 |      0 |
 |         67 |   18177127 |  -3456.302 |  -4108.468 |  108.954 |   37.673 |  0.63 |   0.510 |   0.510 |      0 |
 |         68 |   18452538 |  -3456.302 |  -3955.042 |  164.314 |   37.263 |  0.67 |   0.601 |   0.601 |      0 |
 |         69 |   18727949 |  -3456.302 |  -4027.673 |  102.096 |   36.997 |  0.65 |   0.556 |   0.556 |      0 |
 |         70 |   19003360 |  -3456.302 |  -4076.897 |  121.834 |   36.576 |  0.63 |   0.428 |   0.428 |      0 |
 |         71 |   19278771 |  -3456.302 |  -4051.888 |  128.619 |   36.230 |  0.64 |   0.428 |   0.428 |      0 |
 |         72 |   19554182 |  -3456.302 |  -4116.305 |   94.623 |   35.909 |  0.63 |   0.452 |   0.452 |      0 |
 |         73 |   19829593 |  -3456.302 |  -4130.514 |   87.434 |   35.481 |  0.62 |   0.551 |   0.551 |      0 |
 |         74 |   20105004 |  -3456.302 |  -4010.466 |  130.696 |   35.029 |  0.65 |   0.543 |   0.543 |      0 |
 |         75 |   20380415 |  -3456.302 |  -4019.685 |  107.363 |   34.734 |  0.64 |   0.445 |   0.445 |      0 |
 |         76 |   20655826 |  -3456.302 |  -4073.024 |  112.910 |   34.380 |  0.64 |   0.440 |   0.440 |      0 |
 |         77 |   20931237 |  -3456.302 |  -4139.914 |   87.433 |   34.051 |  0.62 |   0.455 |   0.455 |      0 |
 |         78 |   21206648 |  -3456.302 |  -4124.077 |  124.427 |   33.635 |  0.62 |   0.429 |   0.429 |      0 |
 |         79 |   21482059 |  -3456.302 |  -4125.874 |  174.279 |   33.348 |  0.63 |   0.626 |   0.626 |      0 |
 |         80 |   21757470 |  -3456.302 |  -4014.910 |   96.099 |   33.147 |  0.65 |   0.456 |   0.456 |      0 |
 |         81 |   22032881 |  -3456.302 |  -3985.588 |  112.924 |   32.787 |  0.65 |   0.496 |   0.496 |      0 |
