numb,Tree,missing,Pop,%Brev_Run1,%Brev_Run2,%Brev Ave
1426,TV5144,-30,5,0.764,0.763,0.7635
1427,TV5145,0,5,0.667,0.666,0.6665
1428,TV5146,-30,5,0.072,0.072,0.072
1429,TV5147,0,5,0.876,0.876,0.876
1430,TV5148,-30,5,0.769,0.769,0.769
1431,TV5149,-5,5,0.466,0.467,0.4665
1432,TV5150,0,5,0.758,0.759,0.7585
1433,TV5151,0,5,0.849,0.848,0.8485
1434,TV5152,0,5,0.849,0.849,0.849
1435,TV5153,0,5,0.848,0.849,0.8485
1436,TV5154,-40,5,0.054,0.054,0.054
1438,TV5156,-10,5,0.314,0.315,0.3145
1439,TV5157,0,5,0.363,0.363,0.363
1440,TV5158,0,5,0.364,0.363,0.3635
1441,TV5159,0,5,0.363,0.364,0.3635
1442,TV5160,0,5,0.363,0.364,0.3635
1443,TV5161,0,5,0.363,0.363,0.363
1444,TV5163,0,5,0.071,0.071,0.071
1445,TV5164,-30,5,0.117,0.117,0.117
1446,TV5165,-5,5,0.385,0.385,0.385
1447,TV5166,-10,5,0.506,0.508,0.507
1448,TV5167,0,5,0.333,0.334,0.3335
1449,TV5168,-5,5,0.087,0.087,0.087
1450,TV5169,-30,5,0.732,0.731,0.7315
1452,TV5171,-10,5,0.829,0.828,0.8285
1453,TV5172,0,5,0.744,0.744,0.744
1454,TV5173,-5,5,0.171,0.17,0.1705
1455,TV5174,0,5,0.345,0.344,0.3445
1456,TV5175,0,5,0.927,0.927,0.927
1457,TV5176,-10,5,0.923,0.923,0.923
1458,TV5177,-5,5,0.373,0.375,0.374
1459,TV5178,0,5,0.477,0.477,0.477
1460,TV5179,0,5,0.699,0.699,0.699
1461,TV5180,0,5,0.179,0.178,0.1785
1462,TV5181,0,5,0.904,0.904,0.904
1463,TV5182,0,5,0.621,0.621,0.621
1464,TV5183,0,5,0.909,0.909,0.909
1465,TV5184,0,5,0.902,0.902,0.902
1466,TV5185,-35,5,0.174,0.173,0.1735
1467,TV5186,-10,5,0.896,0.895,0.8955
1468,TV5187,-30,5,0.923,0.923,0.923
1469,TV5188,-5,5,0.686,0.686,0.686
1470,TV5189,-5,5,0.71,0.711,0.7105
1471,TV5190,-40,5,0.642,0.643,0.6425
1472,TV5191,-45,5,0.527,0.527,0.527
1473,TV5192,0,5,0.885,0.884,0.8845
1474,TV5193,0,5,0.264,0.263,0.2635
1475,TV5194,0,5,0.135,0.135,0.135
1476,TV5195,-10,5,0.543,0.542,0.5425
1477,TV5196,0,5,0.419,0.419,0.419
1478,TV5197,0,5,0.945,0.944,0.9445
1479,TV5198,0,5,0.126,0.127,0.1265
1480,TV5199,-30,5,0.13,0.129,0.1295
1481,TV5200,0,5,0.904,0.904,0.904
1482,TV5201,0,5,0.127,0.128,0.1275
1483,TV5202,0,5,0.724,0.725,0.7245
1484,TV5203,0,5,0.74,0.738,0.739
1485,TV5204,0,5,0.84,0.839,0.8395
1486,TV5205,0,5,0.515,0.514,0.5145
1487,TV5206,0,5,0.509,0.509,0.509
1488,TV5207,0,5,0.938,0.938,0.938
1489,TV5208,0,5,0.678,0.678,0.678
1490,TV5209,0,5,0.771,0.771,0.771
1491,TV5210,0,5,0.683,0.683,0.683
1492,TV5211,-30,5,0.907,0.907,0.907
1493,TV5212,0,5,0.949,0.949,0.949
1494,TV5213,0,5,0.908,0.908,0.908
1495,TV5214,-10,5,0.807,0.806,0.8065
1496,TV5215,-30,5,0.952,0.952,0.952
1497,TV5216,-15,5,0.836,0.837,0.8365
1498,TV5217,0,5,0.866,0.865,0.8655
1499,TV5218,-5,5,0.884,0.883,0.8835
1500,TV5219,0,5,0.894,0.894,0.894
1501,TV5220,-5,5,0.947,0.947,0.947
1502,TV5221,-30,5,0.771,0.772,0.7715
1503,TV5222,-30,5,0.906,0.906,0.906
1504,TV5223,-30,5,0.886,0.886,0.886
1505,TV5224,0,5,0.716,0.715,0.7155
1506,TV5225,-5,5,0.61,0.61,0.61
1507,TV5226,0,5,0.722,0.722,0.722
1508,TV5227,-5,5,0.674,0.673,0.6735
1509,TV5228,-30,5,0.931,0.931,0.931
1510,TV5229,0,5,0.871,0.871,0.871
1511,TV5230,0,5,0.914,0.913,0.9135
1512,TV5231,0,5,0.948,0.948,0.948
1513,TV5232,0,5,0.913,0.913,0.913
1514,TV5233,0,5,0.913,0.913,0.913
1515,TV5234,-5,5,0.864,0.864,0.864
1516,TV5235,0,5,0.935,0.935,0.935
1517,TV5236,0,5,0.932,0.932,0.932
1518,TV5237,0,5,0.701,0.702,0.7015
1519,TV5238,-5,5,0.787,0.786,0.7865
1520,TV5239,-20,5,0.793,0.793,0.793
1521,TV5240,0,5,0.796,0.796,0.796
1522,TV5241,0,5,0.641,0.641,0.641
1523,TV5242,0,5,0.852,0.852,0.852
1524,TV5243,0,5,0.827,0.827,0.827
1525,TV5244,0,5,0.809,0.808,0.8085
1526,TV5245,-20,5,0.905,0.905,0.905
1527,TV5246,-10,5,0.939,0.939,0.939
1528,TV5247,0,5,0.967,0.967,0.967
1529,TV5248,-30,5,0.883,0.882,0.8825
1530,TV5249,0,5,0.762,0.761,0.7615
1531,TV5250,0,5,0.744,0.742,0.743
1532,TV5251,0,5,0.758,0.759,0.7585
1533,TV5252,0,5,0.503,0.502,0.5025
1534,TV5253,0,5,0.789,0.788,0.7885
