Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sat Nov 23 15:37:57 2024


*** MCMC Parameters ***

Seed                         : 1732401457
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 91804
  Initial temperature c0     : 114.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 10000
  Nmmax                      : 10000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 |         43 |   11567263 |  -3520.026 |  -4180.353 |  146.396 |   52.588 |  0.63 |   0.452 |   0.452 |      0 |
 |         44 |   11842674 |  -3520.026 |  -4121.803 |  191.007 |   51.994 |  0.65 |   0.321 |   0.321 |      0 |
 |         45 |   12118085 |  -3520.026 |  -4092.268 |  129.548 |   51.548 |  0.65 |   0.458 |   0.458 |      0 |
 |         46 |   12393496 |  -3520.026 |  -4150.501 |   87.841 |   50.905 |  0.64 |   0.576 |   0.576 |      0 |
 |         47 |   12668907 |  -3520.026 |  -4007.988 |  136.303 |   49.985 |  0.67 |   0.610 |   0.610 |      0 |
 |         48 |   12944318 |  -3520.026 |  -3995.886 |   88.656 |   49.409 |  0.67 |   0.503 |   0.503 |      0 |
 |         49 |   13219729 |  -3520.026 |  -3989.853 |  119.944 |   48.549 |  0.67 |   0.641 |   0.641 |      0 |
 |         50 |   13495140 |  -3491.885 |  -3970.090 |  144.052 |   47.933 |  0.67 |   0.481 |   0.481 |      0 |
 |         51 |   13770551 |  -3491.885 |  -4138.430 |  113.770 |   47.432 |  0.63 |   0.398 |   0.398 |      0 |
 |         52 |   14045962 |  -3491.885 |  -4104.031 |  207.112 |   46.812 |  0.65 |   0.620 |   0.620 |      0 |
 |         53 |   14321373 |  -3491.885 |  -4071.408 |  182.388 |   46.478 |  0.65 |   0.495 |   0.495 |      0 |
 |         54 |   14596784 |  -3491.885 |  -4179.594 |  148.833 |   46.105 |  0.63 |   0.394 |   0.394 |      0 |
 |         55 |   14872195 |  -3491.885 |  -4084.087 |  162.328 |   45.655 |  0.65 |   0.446 |   0.446 |      0 |
 |         56 |   15147606 |  -3491.885 |  -4189.257 |  181.713 |   45.251 |  0.63 |   0.378 |   0.378 |      0 |
 |         57 |   15423017 |  -3491.885 |  -4153.450 |  138.857 |   44.896 |  0.63 |   0.593 |   0.593 |      0 |
 |         58 |   15698428 |  -3491.885 |  -4070.846 |  165.702 |   44.439 |  0.65 |   0.571 |   0.571 |      0 |
 |         59 |   15973839 |  -3491.885 |  -4022.327 |  115.504 |   44.064 |  0.66 |   0.373 |   0.373 |      0 |
 |         60 |   16249250 |  -3491.885 |  -4151.809 |  118.534 |   43.536 |  0.63 |   0.540 |   0.540 |      0 |
 |         61 |   16524661 |  -3491.885 |  -3970.918 |  115.400 |   43.034 |  0.67 |   0.441 |   0.441 |      0 |
 |         62 |   16800072 |  -3491.885 |  -4171.662 |   95.165 |   42.530 |  0.62 |   0.760 |   0.760 |      0 |
 |         63 |   17075483 |  -3491.885 |  -4047.865 |  107.469 |   41.935 |  0.65 |   0.421 |   0.421 |      0 |
 |         64 |   17350894 |  -3491.885 |  -4036.568 |   95.627 |   41.421 |  0.65 |   0.531 |   0.531 |      0 |
 |         65 |   17626305 |  -3491.885 |  -3989.561 |   97.556 |   40.859 |  0.66 |   0.529 |   0.529 |      0 |
 |         66 |   17901716 |  -3491.885 |  -3955.769 |  109.865 |   40.322 |  0.66 |   0.543 |   0.543 |      0 |
 |         67 |   18177127 |  -3491.885 |  -4007.599 |  133.879 |   39.858 |  0.66 |   0.565 |   0.565 |      0 |
 |         68 |   18452538 |  -3491.885 |  -4086.107 |  107.296 |   39.484 |  0.64 |   0.405 |   0.405 |      0 |
 |         69 |   18727949 |  -3491.885 |  -4051.091 |  123.707 |   39.028 |  0.65 |   0.498 |   0.498 |      0 |
 |         70 |   19003360 |  -3491.885 |  -3995.172 |  129.592 |   38.641 |  0.66 |   0.820 |   0.820 |      0 |
 |         71 |   19278771 |  -3491.885 |  -3955.797 |  135.807 |   38.278 |  0.67 |   0.682 |   0.682 |      0 |
 |         72 |   19554182 |  -3491.885 |  -3983.967 |  158.112 |   37.938 |  0.66 |   0.408 |   0.408 |      0 |
 |         73 |   19829593 |  -3491.885 |  -4117.400 |  140.682 |   37.651 |  0.63 |   0.550 |   0.550 |      0 |
 |         74 |   20105004 |  -3491.885 |  -4003.445 |  129.677 |   37.334 |  0.66 |   0.440 |   0.440 |      0 |
 |         75 |   20380415 |  -3491.885 |  -4020.684 |   99.243 |   36.995 |  0.66 |   0.567 |   0.567 |      0 |
 |         76 |   20655826 |  -3491.885 |  -4045.215 |  108.273 |   36.562 |  0.64 |   0.506 |   0.506 |      0 |
 |         77 |   20931237 |  -3491.885 |  -4042.658 |  153.243 |   36.174 |  0.65 |   0.684 |   0.684 |      0 |
 |         78 |   21206648 |  -3491.885 |  -4029.625 |  108.624 |   35.905 |  0.65 |   0.588 |   0.588 |      0 |
 |         79 |   21482059 |  -3491.885 |  -3990.919 |  153.694 |   35.532 |  0.66 |   0.605 |   0.605 |      0 |
 |         80 |   21757470 |  -3491.885 |  -4108.482 |  107.647 |   35.273 |  0.63 |   0.567 |   0.567 |      0 |
 |         81 |   22032881 |  -3491.885 |  -4016.480 |  103.789 |   34.909 |  0.65 |   0.579 |   0.579 |      0 |
 |         82 |   22308292 |  -3491.885 |  -3908.760 |  101.834 |   34.540 |  0.67 |   0.427 |   0.427 |      0 |
 |         83 |   22583703 |  -3491.885 |  -3974.604 |  120.611 |   34.172 |  0.66 |   0.848 |   0.848 |      0 |
 |         84 |   22859114 |  -3491.885 |  -4045.879 |  187.498 |   33.867 |  0.64 |   0.417 |   0.417 |      0 |
 |         85 |   23134525 |  -3491.885 |  -4278.079 |  101.065 |   33.674 |  0.60 |   0.550 |   0.550 |      0 |
 |         86 |   23409936 |  -3491.885 |  -3996.608 |  105.305 |   33.321 |  0.65 |   0.494 |   0.494 |      0 |
 |         87 |   23685347 |  -3491.885 |  -4099.037 |  127.710 |   32.990 |  0.63 |   0.558 |   0.558 |      0 |
 |         88 |   23960758 |  -3491.885 |  -4094.061 |   96.732 |   32.721 |  0.63 |   0.402 |   0.402 |      0 |
 |         89 |   24236169 |  -3491.885 |  -4081.809 |   93.330 |   32.373 |  0.63 |   0.377 |   0.377 |      0 |
 |         90 |   24511580 |  -3491.885 |  -4125.647 |  123.704 |   32.020 |  0.62 |   0.451 |   0.451 |      0 |
 |         91 |   24786991 |  -3491.885 |  -4045.538 |   94.114 |   31.759 |  0.64 |   0.479 |   0.479 |      0 |
 |         92 |   25062402 |  -3491.885 |  -4143.864 |  114.485 |   31.422 |  0.62 |   0.522 |   0.522 |      0 |
 |         93 |   25337813 |  -3491.885 |  -4014.384 |   94.752 |   31.151 |  0.64 |   0.488 |   0.488 |      0 |
 |         94 |   25613224 |  -3491.885 |  -3906.691 |   89.526 |   30.829 |  0.67 |   0.487 |   0.487 |      0 |
 |         95 |   25888635 |  -3491.885 |  -3989.230 |  128.221 |   30.495 |  0.65 |   0.743 |   0.743 |      0 |
 |         96 |   26164046 |  -3491.885 |  -3953.849 |  132.202 |   30.266 |  0.65 |   0.570 |   0.570 |      0 |
 |         97 |   26439457 |  -3491.885 |  -3916.764 |  103.165 |   30.048 |  0.66 |   0.592 |   0.592 |      0 |
 |         98 |   26714868 |  -3491.885 |  -3909.592 |  115.574 |   29.772 |  0.66 |   0.394 |   0.394 |      0 |
 |         99 |   26990279 |  -3491.885 |  -4158.790 |  106.546 |   29.531 |  0.61 |   0.485 |   0.485 |      0 |
